time,open,high,low,close,volume,trade_decision
2023-06-26 00:00:00,1925.393,1927.063,1924.795,1926.475,3331,No Trade
2023-06-26 08:00:00,1928.969,1933.344,1928.957,1931.792,4468,No Trade
2023-06-26 10:00:00,1929.881,1933.38,1929.558,1931.964,3260,No Trade
2023-06-26 12:00:00,1931.447,1933.151,1929.863,1931.584,5307,No Trade
2023-06-26 17:00:00,1923.76,1925.275,1923.284,1924.559,3498,No Trade
2023-06-26 20:00:00,1922.88,1923.497,1922.64,1923.187,1357,No Trade
2023-06-27 00:00:00,1922.601,1924.763,1921.697,1922.679,8670,No Trade
2023-06-27 01:00:00,1922.742,1930.372,1922.62,1929.249,13668,No Trade
2023-06-27 02:00:00,1929.28,1929.688,1927.067,1928.791,9822,No Trade
2023-06-27 06:00:00,1925.141,1927.683,1924.193,1927.412,11922,No Trade
2023-06-27 16:00:00,1913.544,1916.597,1912.017,1914.602,13689,No Trade
2023-06-27 20:00:00,1913.816,1913.9,1912.953,1913.589,5496,No Trade
2023-06-27 22:00:00,1914.24,1915.627,1914.013,1914.962,4557,No Trade
2023-06-27 23:00:00,1915.024,1915.879,1914.724,1915.422,5118,No Trade
2023-06-28 00:00:00,1915.489,1917.274,1915.236,1916.204,8529,No Trade
2023-06-28 01:00:00,1916.268,1916.858,1913.483,1915.083,12981,No Trade
2023-06-28 02:00:00,1915.114,1916.075,1913.484,1915.159,10686,No Trade
2023-06-28 07:00:00,1910.921,1912.104,1909.209,1910.929,13617,No Trade
2023-06-28 08:00:00,1910.99,1911.728,1908.156,1909.897,12617,No Trade
2023-06-28 11:00:00,1907.055,1907.879,1905.646,1907.157,11730,No Trade
2023-06-28 12:00:00,1907.221,1908.54,1905.551,1906.923,15075,No Trade
2023-06-28 14:00:00,1909.889,1911.222,1905.148,1907.068,24639,No Trade
2023-06-28 15:00:00,1907.101,1913.278,1906.173,1910.861,18401,No Trade
2023-06-28 16:00:00,1910.892,1912.921,1909.903,1912.244,12885,No Trade
2023-06-28 22:00:00,1907.598,1910.44,1907.331,1909.909,6378,No Trade
2023-06-29 02:00:00,1909.961,1909.961,1904.293,1904.494,12795,No Trade
2023-06-29 04:00:00,1905.487,1906.014,1904.486,1905.296,8094,No Trade
2023-06-29 05:00:00,1905.358,1905.568,1903.158,1904.491,11522,No Trade
2023-06-29 07:00:00,1904.672,1907.473,1902.548,1905.698,13560,No Trade
2023-06-29 08:00:00,1905.793,1908.047,1904.464,1906.15,13026,No Trade
2023-06-29 11:00:00,1909.976,1911.068,1909.185,1910.04,10566,No Trade
2023-06-29 14:00:00,1899.735,1913.062,1899.336,1910.969,34177,No Trade
2023-06-29 16:00:00,1909.016,1910.46,1908.132,1910.304,12822,No Trade
2023-06-29 19:00:00,1907.071,1909.267,1906.246,1907.64,10611,No Trade
2023-06-29 20:00:00,1907.671,1908.403,1907.403,1907.976,4854,No Trade
2023-06-30 03:00:00,1907.896,1909.409,1907.382,1908.289,8265,No Trade
2023-06-30 05:00:00,1908.26,1909.962,1907.141,1907.141,9594,No Trade
2023-06-30 09:00:00,1901.963,1905.456,1901.507,1905.121,11714,No Trade
2023-06-30 11:00:00,1906.346,1906.704,1904.334,1905.277,10302,No Trade
2023-06-30 12:00:00,1905.372,1913.793,1904.63,1911.051,27237,No Trade
2023-06-30 13:00:00,1911.082,1914.545,1909.726,1911.921,29823,No Trade
2023-06-30 15:00:00,1915.51,1919.459,1914.524,1919.018,17736,No Trade
2023-06-30 20:00:00,1920.111,1920.2,1918.136,1919.371,6558,No Trade
2023-07-02 22:00:00,1918.652,1919.684,1918.415,1919.322,1635,No Trade
2023-07-03 01:00:00,1917.182,1918.878,1916.13,1917.406,4119,No Trade
2023-07-03 03:00:00,1914.916,1919.105,1914.758,1918.407,2958,No Trade
2023-07-03 04:00:00,1918.438,1920.233,1917.895,1920.161,2501,No Trade
2023-07-03 08:00:00,1912.255,1913.453,1910.103,1912.072,3826,No Trade
2023-07-03 09:00:00,1912.035,1914.25,1911.729,1913.157,3243,No Trade
2023-07-03 11:00:00,1913.939,1914.418,1911.999,1912.602,3263,No Trade
2023-07-03 13:00:00,1921.944,1927.033,1919.452,1926.096,7462,No Trade
2023-07-03 14:00:00,1926.181,1930.884,1924.293,1930.215,8792,No Trade
2023-07-03 19:00:00,1921.306,1921.889,1921.144,1921.409,984,No Trade
2023-07-03 20:00:00,1921.407,1921.752,1921.126,1921.534,749,No Trade
2023-07-03 23:00:00,1921.283,1921.395,1919.83,1921.281,1041,No Trade
2023-07-04 01:00:00,1921.215,1923.227,1920.124,1921.682,3590,No Trade
2023-07-04 02:00:00,1921.677,1921.979,1920.673,1921.583,2462,No Trade
2023-07-04 03:00:00,1921.589,1923.551,1921.469,1923.012,2365,No Trade
2023-07-04 04:00:00,1923.018,1924.543,1922.796,1924.278,2832,No Trade
2023-07-04 05:00:00,1924.286,1924.72,1923.333,1923.774,2503,No Trade
2023-07-04 06:00:00,1923.771,1927.569,1923.49,1927.509,3506,No Trade
2023-07-04 09:00:00,1928.601,1930.685,1928.579,1929.824,3360,No Trade
2023-07-04 11:00:00,1928.892,1929.699,1927.705,1928.574,2898,No Trade
2023-07-04 13:00:00,1926.824,1928.982,1926.199,1928.305,3263,No Trade
2023-07-04 15:00:00,1928.148,1928.211,1926.935,1927.093,2390,No Trade
2023-07-04 17:00:00,1924.248,1925.872,1924.058,1925.549,1126,No Trade
2023-07-05 00:00:00,1926.347,1927.158,1925.839,1926.763,2289,No Trade
2023-07-05 01:00:00,1926.761,1926.848,1924.056,1924.215,3264,No Trade
2023-07-05 04:00:00,1924.458,1926.039,1924.265,1925.595,2126,No Trade
2023-07-05 05:00:00,1925.594,1926.512,1925.045,1925.592,2906,No Trade
2023-07-05 08:00:00,1927.484,1928.134,1925.248,1927.025,3684,No Trade
2023-07-05 11:00:00,1927.375,1928.297,1926.288,1927.571,3095,No Trade
2023-07-05 23:00:00,1916.329,1917.27,1915.647,1916.872,1861,No Trade
2023-07-06 00:00:00,1916.884,1917.74,1916.16,1917.409,2674,No Trade
2023-07-06 01:00:00,1917.409,1919.689,1916.464,1919.561,3968,No Trade
2023-07-06 05:00:00,1917.912,1921.233,1917.821,1920.152,3314,No Trade
2023-07-06 06:00:00,1920.143,1921.545,1919.265,1920.535,3485,No Trade
2023-07-06 07:00:00,1920.534,1921.213,1918.976,1919.01,3835,No Trade
2023-07-06 08:00:00,1919.018,1919.781,1916.219,1918.132,3670,No Trade
2023-07-06 13:00:00,1906.39,1914.977,1904.74,1910.905,10933,No Trade
2023-07-06 14:00:00,1910.787,1910.903,1902.828,1907.938,11005,No Trade
2023-07-06 15:00:00,1907.971,1911.706,1907.231,1911.55,5932,No Trade
2023-07-06 20:00:00,1910.292,1911.046,1909.977,1910.987,1621,No Trade
2023-07-06 23:00:00,1911.053,1912.289,1911.053,1911.616,1455,No Trade
2023-07-07 02:00:00,1910.687,1911.67,1909.943,1910.949,2664,No Trade
2023-07-07 03:00:00,1910.951,1912.265,1910.328,1911.194,2751,No Trade
2023-07-07 04:00:00,1911.191,1912.381,1910.312,1912.189,2187,No Trade
2023-07-07 05:00:00,1912.183,1914.605,1911.978,1914.359,3350,No Trade
2023-07-07 07:00:00,1913.358,1916.521,1912.112,1914.638,4181,No Trade
2023-07-07 08:00:00,1914.668,1915.826,1913.391,1915.676,3493,No Trade
2023-07-07 09:00:00,1915.663,1916.843,1914.519,1916.124,3489,No Trade
2023-07-07 10:00:00,1916.145,1917.814,1915.246,1916.324,3236,No Trade
2023-07-07 11:00:00,1916.358,1918.406,1915.96,1917.583,3217,No Trade
2023-07-07 13:00:00,1918.903,1927.709,1915.557,1923.262,11443,No Trade
2023-07-07 17:00:00,1926.984,1928.104,1926.12,1927.052,3626,No Trade
2023-07-07 18:00:00,1927.05,1927.302,1925.461,1926.426,2962,No Trade
2023-07-07 20:00:00,1924.777,1925.51,1924.316,1925.439,1737,No Trade
2023-07-10 00:00:00,1924.958,1925.346,1922.946,1924.307,3232,No Trade
