time,open,high,low,close,volume,trade_decision
2023-06-26 00:00:00,1925.393,1927.063,1924.795,1926.475,3331,No Trade
2023-06-26 01:00:00,1926.443,1928.57,1925.141,1925.513,5236,Sell
2023-06-26 02:00:00,1925.476,1926.839,1924.224,1924.565,3797,Sell
2023-06-26 03:00:00,1924.572,1926.867,1924.413,1925.561,2817,Sell
2023-06-26 04:00:00,1925.562,1925.996,1924.549,1925.129,2180,Sell
2023-06-26 05:00:00,1925.13,1927.192,1924.039,1926.845,3196,Buy
2023-06-26 06:00:00,1926.813,1927.694,1922.225,1922.825,4170,Sell
2023-06-26 07:00:00,1922.791,1929.174,1922.445,1928.969,4869,Buy
2023-06-26 08:00:00,1928.969,1933.344,1928.957,1931.792,4468,No Trade
2023-06-26 09:00:00,1931.832,1932.468,1929.367,1929.913,3801,Sell
2023-06-26 10:00:00,1929.881,1933.38,1929.558,1931.964,3260,No Trade
2023-06-26 11:00:00,1931.967,1932.591,1931.207,1931.445,3396,Sell
2023-06-26 12:00:00,1931.447,1933.151,1929.863,1931.584,5307,No Trade
2023-06-26 13:00:00,1931.573,1931.696,1921.484,1924.826,7437,Sell
2023-06-26 14:00:00,1924.793,1925.592,1922.578,1923.339,6332,Sell
2023-06-26 15:00:00,1923.37,1928.548,1923.37,1925.775,4824,Sell
2023-06-26 16:00:00,1925.745,1926.602,1923.501,1923.792,3952,Sell
2023-06-26 17:00:00,1923.76,1925.275,1923.284,1924.559,3498,No Trade
2023-06-26 18:00:00,1924.586,1924.889,1923.076,1923.462,3076,Sell
2023-06-26 19:00:00,1923.455,1924.008,1922.444,1922.919,2856,Sell
2023-06-26 20:00:00,1922.88,1923.497,1922.64,1923.187,1357,No Trade
2023-06-26 22:00:00,1923.298,1924.751,1923.298,1924.686,4089,Buy
2023-06-26 23:00:00,1924.756,1924.756,1920.94,1922.522,6311,Sell
2023-06-27 00:00:00,1922.601,1924.763,1921.697,1922.679,8670,No Trade
2023-06-27 01:00:00,1922.742,1930.372,1922.62,1929.249,13668,No Trade
2023-06-27 02:00:00,1929.28,1929.688,1927.067,1928.791,9822,No Trade
2023-06-27 03:00:00,1928.847,1929.572,1927.981,1928.452,9147,Sell
2023-06-27 04:00:00,1928.508,1929.681,1928.378,1928.497,7146,Sell
2023-06-27 05:00:00,1928.561,1929.567,1925.067,1925.067,9666,Sell
2023-06-27 06:00:00,1925.141,1927.683,1924.193,1927.412,11922,No Trade
2023-06-27 07:00:00,1927.505,1929.715,1927.117,1928.189,12219,Sell
2023-06-27 08:00:00,1928.252,1928.69,1924.188,1925.527,12627,Sell
2023-06-27 09:00:00,1925.559,1925.818,1923.784,1924.057,10362,Sell
2023-06-27 10:00:00,1924.11,1924.575,1922.684,1923.457,9582,Sell
2023-06-27 11:00:00,1923.534,1923.539,1919.527,1923.128,11844,Buy
2023-06-27 12:00:00,1923.168,1930.387,1923.094,1926.175,18514,Sell
2023-06-27 13:00:00,1926.277,1930.739,1922.847,1923.596,24294,Sell
2023-06-27 14:00:00,1923.572,1924.154,1911.378,1917.208,33594,Sell
2023-06-27 15:00:00,1917.303,1917.582,1913.366,1913.498,16620,Sell
2023-06-27 16:00:00,1913.544,1916.597,1912.017,1914.602,13689,No Trade
2023-06-27 17:00:00,1914.632,1915.929,1911.622,1912.123,12156,Sell
2023-06-27 18:00:00,1912.217,1914.951,1910.837,1914.825,11139,Buy
2023-06-27 19:00:00,1914.858,1915.791,1913.348,1913.723,10167,Sell
2023-06-27 20:00:00,1913.816,1913.9,1912.953,1913.589,5496,No Trade
2023-06-27 22:00:00,1914.24,1915.627,1914.013,1914.962,4557,No Trade
2023-06-27 23:00:00,1915.024,1915.879,1914.724,1915.422,5118,No Trade
2023-06-28 00:00:00,1915.489,1917.274,1915.236,1916.204,8529,No Trade
2023-06-28 01:00:00,1916.268,1916.858,1913.483,1915.083,12981,No Trade
2023-06-28 02:00:00,1915.114,1916.075,1913.484,1915.159,10686,No Trade
2023-06-28 03:00:00,1915.189,1916.832,1914.849,1915.213,8604,Sell
2023-06-28 04:00:00,1915.276,1916.339,1915.085,1915.22,7167,Sell
2023-06-28 05:00:00,1915.285,1916.841,1915.033,1915.563,8481,Sell
2023-06-28 06:00:00,1915.658,1916.338,1909.054,1910.854,13878,Sell
2023-06-28 07:00:00,1910.921,1912.104,1909.209,1910.929,13617,No Trade
2023-06-28 08:00:00,1910.99,1911.728,1908.156,1909.897,12617,No Trade
2023-06-28 09:00:00,1909.993,1912.001,1907.169,1907.322,12554,Sell
2023-06-28 10:00:00,1907.415,1909.054,1906.152,1907.022,11480,Sell
2023-06-28 11:00:00,1907.055,1907.879,1905.646,1907.157,11730,No Trade
2023-06-28 12:00:00,1907.221,1908.54,1905.551,1906.923,15075,No Trade
2023-06-28 13:00:00,1906.996,1911.501,1902.635,1909.83,29538,Buy
2023-06-28 14:00:00,1909.889,1911.222,1905.148,1907.068,24639,No Trade
2023-06-28 15:00:00,1907.101,1913.278,1906.173,1910.861,18401,No Trade
2023-06-28 16:00:00,1910.892,1912.921,1909.903,1912.244,12885,No Trade
2023-06-28 17:00:00,1912.338,1913.434,1911.562,1911.777,12174,Sell
2023-06-28 18:00:00,1911.87,1913.215,1911.801,1912.211,9432,Sell
2023-06-28 19:00:00,1912.264,1912.391,1909.198,1909.281,10203,Sell
2023-06-28 20:00:00,1909.308,1910.094,1906.812,1907.43,6717,Sell
2023-06-28 22:00:00,1907.598,1910.44,1907.331,1909.909,6378,No Trade
2023-06-28 23:00:00,1909.971,1910.806,1909.625,1909.719,5100,Sell
2023-06-29 00:00:00,1909.812,1910.226,1908.021,1909.987,8157,Buy
2023-06-29 01:00:00,1910.058,1912.879,1909.485,1909.866,12750,Sell
2023-06-29 02:00:00,1909.961,1909.961,1904.293,1904.494,12795,No Trade
2023-06-29 03:00:00,1904.572,1905.687,1902.819,1905.455,10755,Buy
2023-06-29 04:00:00,1905.487,1906.014,1904.486,1905.296,8094,No Trade
